Item Name,Category,Version,Version_clean,return_probability,risk_category,Final_Revenue_Abs,is_return,Date
NMA,Product D,35 / B / FtO,35,0.9999998927813485,High,148.34,1,2019-03-12
ELV,Product H,34 / B / FtO,34,0.9999998919387282,High,148.33,1,2019-02-05
QID,Product H,34 / B / FtO,34,0.9999998919387282,High,148.33,1,2019-03-12
NMA,Product H,34 / B / FtO,34,0.9999998917122672,High,148.34,1,2019-03-14
RJF,Product P,32 / A / FtO,32,0.9999998897730186,High,148.33,1,2018-11-20
WHX,Product D,36 / C / FtO,36,0.9999998893755926,High,148.33,1,2018-11-26
XEB,Product D,36 / A / FtO,36,0.9999998891437604,High,148.34,1,2018-12-12
NMA,Product H,35 / B / FtO,35,0.9999998885062069,High,148.32,1,2019-03-12
QID,Product H,35 / B / FtO,35,0.9999998880384088,High,148.34,1,2019-03-12
ELV,Product H,35 / B / FtO,35,0.9999998880384088,High,148.34,1,2019-02-05
YQX,Product H,35 / A / FtO,35,0.9999998880384088,High,148.34,1,2019-02-06
FQD,Product H,36 / A / FtO,36,0.9999998844819957,High,148.33,1,2019-04-12
NMA,Product H,36 / C / FtO,36,0.9999998844819957,High,148.33,1,2019-03-29
WHX,Product P,34 / B / FtO,34,0.9999998787595084,High,147.92,1,2019-01-02
WHX,Product D,40 / A / FtO,40,0.9999998777298739,High,148.33,1,2018-11-30
WHX,Product P,35 / B / FtO,35,0.9999998749083548,High,147.91,1,2019-01-02
RJF,Product P,36 / A / FtO,36,0.9999998740358041,High,148.33,1,2018-11-01
AYN,Product H,40 / C / FtO,40,0.9999998720288077,High,148.33,1,2019-04-03
RJF,Product P,31 / B / FtO,31,0.9999998440670671,High,142.5,1,2018-12-07
WHX,Product P,32 / A / FtO,32,0.9999998387767586,High,142.5,1,2019-01-11
AYN,Product P,32 / A / FtO,32,0.9999998387767586,High,142.5,1,2019-02-22
TSH,Product P,32 / A / FtO,32,0.9999998387767586,High,142.5,1,2019-02-19
WHX,Product P,32 / A / FtO,32,0.9999998387767586,High,142.5,1,2018-12-18
RJF,Product P,32 / A / FtO,32,0.9999998387767586,High,142.5,1,2018-12-20
WHX,Product P,32 / B / FtO,32,0.9999998382201294,High,142.44,1,2019-01-25
RJF,Product P,33 / A / FtO,33,0.9999998333069668,High,142.5,1,2019-02-08
AYN,Product P,33 / A / FtO,33,0.9999998333069668,High,142.5,1,2019-02-22
WHX,Product P,34 / A / FtO,34,0.9999998276516027,High,142.5,1,2019-01-17
RJF,Product P,34 / A / FtO,34,0.9999998276516027,High,142.5,1,2019-03-14
RJF,Product P,35 / A / FtO,35,0.99999982180437,High,142.5,1,2019-03-14
WHX,Product P,32 / A / FtO,32,0.9999997830617933,High,137.91,1,2018-12-19
RJF,Product P,32 / B / FtO,32,0.9999997830617933,High,137.91,1,2018-11-30
XEB,Product P,32 / A / FtO,32,0.9999997767886796,High,137.5,1,2018-11-26
WHX,Product P,33 / A / FtO,33,0.9999997752317152,High,137.92,1,2018-12-19
QID,Product H,28 / A / FtO,28,0.9999997597406871,High,133.5,1,2019-04-24
YQX,Product H,28 / A / FtO,28,0.9999997597406871,High,133.5,1,2018-11-01
WHX,Product D,31 / B / FtO,31,0.9999997540419102,High,133.5,1,2019-03-15
WHX,Product D,32 / A / FtO,32,0.9999997456973355,High,133.5,1,2018-11-15
WHX,Product P,36 / A / FtO,36,0.9999997449205837,High,137.5,1,2018-12-07
YQX,Product H,31 / A / FtO,31,0.9999997431616747,High,133.5,1,2019-03-15
YQX,Product H,31 / B / FtO,31,0.9999997431616747,High,133.5,1,2019-03-15
WHX,Product D,33 / A / FtO,33,0.999999737069656,High,133.5,1,2019-04-01
YQX,Product H,32 / A / FtO,32,0.9999997344479682,High,133.5,1,2018-11-15
QID,Product H,34 / B / FtO,34,0.9999997325284857,High,134.45,1,2018-11-01
YQX,Product H,34 / A / FtO,34,0.9999997161236409,High,133.5,1,2019-04-30
XEB,Product P,32 / A / FtO,32,0.9999997104343353,High,133.5,1,2018-11-06
LQS,Product B,36 / B / FtO,36,0.9999996864568524,High,132.0,1,2019-01-24
WHX,Product P,36 / B / FtO,36,0.9999996690927688,High,133.5,1,2018-11-19
ZQV,Product W,34 / B / FtO,34,0.9999996357536151,High,131.99,1,2018-12-14
ZQV,Product W,35 / A / FtO,35,0.9999996234686878,High,132.0,1,2018-12-07
XEB,Product D,30 / A / 31,30,0.999999614835485,High,126.08,1,2018-12-06
FTU,Product N,L / Sl / Re,L,0.9999995982562129,High,132.75,1,2018-11-21
YQX,Product H,34 / B / FtO,34,0.9999995805545557,High,127.5,1,2018-11-26
VXH,Product P,31 / B / FtO,31,0.9999995637399077,High,126.66,1,2018-12-21
WHX,Product P,31 / A / FtO,31,0.9999995628256505,High,126.67,1,2019-01-16
WHX,Product P,31 / B / FtO,31,0.9999995628256505,High,126.67,1,2018-12-21
WHX,Product P,32 / B / FtO,32,0.9999995489389949,High,126.66,1,2018-12-13
RJF,Product P,32 / A / FtO,32,0.9999995479937198,High,126.67,1,2018-12-21
RJF,Product P,32 / B / FtO,32,0.9999995479937198,High,126.67,1,2018-12-11
RJF,Product P,32 / B / FtO,32,0.9999995479937198,High,126.67,1,2018-12-11
YQX,Product H,38 / C / FtO,38,0.9999995206699378,High,127.5,1,2019-02-14
XEB,Product P,34 / C / FtO,34,0.9999995168031871,High,126.67,1,2019-04-18
RJF,Product P,34 / B / FtO,34,0.999999516709775,High,126.66,1,2018-12-14
WHX,Product D,31 / B / FtO,31,0.999999355220858,High,118.66,1,2019-01-04
WHX,Product D,32 / B / FtO,32,0.9999993319484763,High,118.67,1,2019-01-04
YQX,Product H,31 / A / FtO,31,0.9999993252873138,High,118.67,1,2019-04-05
HZX,Product B,31 / A / FtO,31,0.9999991978985329,High,115.0,1,2019-03-11
MTW,Product C,31 / A / FtO,31,0.9999991891715332,High,115.0,1,2019-01-18
YQX,Product H,37 / B / FtO,37,0.9999991757525194,High,118.67,1,2018-12-10
WHX,Product A,28 / C / FtO,28,0.9999987908428721,High,107.5,1,2019-03-05
WHX,Product A,30 / A / FtO,30,0.999998749820062,High,107.5,1,2019-03-27
QID,Product A,30 / A / FtO,30,0.999998749820062,High,107.5,1,2018-11-26
WHX,Product A,30 / C / FtO,30,0.999998749820062,High,107.5,1,2019-01-04
QID,Product A,30 / A / FtO,30,0.999998749820062,High,107.5,1,2018-12-13
WHX,Product A,30 / B / FtO,30,0.999998749820062,High,107.5,1,2018-11-05
INU,Product A,30 / A / FtO,30,0.999998749820062,High,107.5,1,2019-04-30
WHX,Product A,30 / A / 31,30,0.999998749820062,High,107.5,1,2019-02-05
RIH,Product A,31 / A / FtO,31,0.9999987101086656,High,107.49,1,2018-11-01
WHX,Product A,31 / B / FtO,31,0.9999987074054816,High,107.5,1,2019-01-24
WHX,Product A,31 / B / FtO,31,0.9999987074054816,High,107.5,1,2019-02-19
WHX,Product A,31 / A / 30,31,0.9999987074054816,High,107.5,1,2019-01-22
WHX,Product A,31 / A / FtO,31,0.9999987074054816,High,107.5,1,2019-04-03
WHX,Product P,34 / B / FtO,34,0.9999986806207265,High,111.26,1,2018-11-30
WHX,Product A,32 / B / FtO,32,0.9999986635519129,High,107.5,1,2018-11-30
WHX,Product A,32 / B / 32,32,0.9999986635519129,High,107.5,1,2019-03-27
WHX,Product A,32 / A / FtO,32,0.9999986635519129,High,107.5,1,2018-12-17
WHX,Product A,32 / A / FtO,32,0.9999986635519129,High,107.5,1,2019-03-01
QID,Product A,32 / A / FtO,32,0.9999986635519129,High,107.5,1,2019-01-04
VXH,Product A,32 / B / FtO,32,0.9999986635519129,High,107.5,1,2018-11-14
VXH,Product A,32 / B / FtO,32,0.9999986635519129,High,107.5,1,2019-01-10
WHX,Product A,32 / B / FtO,32,0.9999986635519129,High,107.5,1,2018-12-07
RIH,Product A,32 / B / 34,32,0.9999986635519129,High,107.5,1,2018-12-06
WHX,Product A,32 / B / 32,32,0.9999986635519129,High,107.5,1,2019-01-30
WHX,Product A,32 / C / 33,32,0.9999986635519129,High,107.5,1,2019-03-25
QID,Product A,32 / A / FtO,32,0.9999986635519129,High,107.5,1,2018-11-23
WHX,Product A,32 / A / FtO,32,0.9999986635519129,High,107.5,1,2019-04-05
WHX,Product A,32 / A / FtO,32,0.9999986635519129,High,107.5,1,2019-04-12
VXH,Product A,32 / B / 33,32,0.9999986635519129,High,107.5,1,2018-12-06
QID,Product A,32 / C / FtO,32,0.9999986635519129,High,107.5,1,2019-01-23
WHX,Product A,32 / B / FtO,32,0.9999986635519129,High,107.5,1,2019-04-05
VXH,Product A,32 / A / 32,32,0.9999986635519129,High,107.5,1,2018-11-06
WHX,Product A,32 / B / FtO,32,0.9999986635519129,High,107.5,1,2019-01-25
VXH,Product A,32 / B / FtO,32,0.9999986635519129,High,107.5,1,2018-11-02
WHX,Product A,32 / C / FtO,32,0.9999986635519129,High,107.5,1,2019-01-29
WHX,Product A,32 / A / FtO,32,0.9999986635519129,High,107.5,1,2019-04-11
WHX,Product A,32 / A / FtO,32,0.9999986635519129,High,107.5,1,2019-04-17
WHX,Product A,32 / A / FtO,32,0.9999986635519129,High,107.5,1,2018-11-08
VXH,Product A,32 / A / 30,32,0.9999986635519129,High,107.5,1,2018-11-06
VXH,Product A,32 / B / 33,32,0.9999986635519129,High,107.5,1,2019-01-16
WHX,Product A,33 / A / 33,33,0.9999986211002518,High,107.49,1,2019-04-17
VXH,Product A,33 / B / FtO,33,0.9999986211002518,High,107.49,1,2018-11-02
QID,Product A,33 / A / FtO,33,0.999998618210536,High,107.5,1,2018-11-19
QID,Product A,33 / B / 32,33,0.999998618210536,High,107.5,1,2018-11-27
QID,Product A,33 / A / FtO,33,0.999998618210536,High,107.5,1,2018-11-23
WHX,Product A,33 / B / FtO,33,0.999998618210536,High,107.5,1,2019-03-13
WHX,Product A,33 / C / 32,33,0.999998618210536,High,107.5,1,2018-11-23
WHX,Product A,33 / B / FtO,33,0.999998618210536,High,107.5,1,2018-12-04
WHX,Product A,33 / A / 30,33,0.999998618210536,High,107.5,1,2019-03-14
WHX,Product A,33 / A / FtO,33,0.999998618210536,High,107.5,1,2018-11-22
WHX,Product A,33 / B / FtO,33,0.999998618210536,High,107.5,1,2018-12-24
WHX,Product A,33 / A / 28,33,0.999998618210536,High,107.5,1,2019-02-13
QID,Product A,33 / B / 30,33,0.999998618210536,High,107.5,1,2019-02-13
WHX,Product A,33 / A / FtO,33,0.999998618210536,High,107.5,1,2018-11-13
VXH,Product A,33 / C / FtO,33,0.999998618210536,High,107.5,1,2018-11-02
WHX,Product A,33 / B / 32,33,0.999998618210536,High,107.5,1,2019-01-14
QID,Product A,33 / A / FtO,33,0.999998618210536,High,107.5,1,2018-11-28
WHX,Product A,33 / B / FtO,33,0.999998618210536,High,107.5,1,2019-03-27
WHX,Product A,33 / A / FtO,33,0.999998618210536,High,107.5,1,2019-01-17
QID,Product A,33 / A / FtO,33,0.999998618210536,High,107.5,1,2018-11-02
WHX,Product A,34 / B / FtO,34,0.999998574318629,High,107.49,1,2019-02-26
WHX,Product A,34 / A / 30,34,0.999998574318629,High,107.49,1,2019-02-05
AYN,Product P,34 / A / FtO,34,0.9999985718212301,High,110.0,1,2019-02-04
WHX,Product A,34 / A / FtO,34,0.9999985713308744,High,107.5,1,2019-01-17
QID,Product A,34 / B / FtO,34,0.9999985713308744,High,107.5,1,2018-11-05
QID,Product A,34 / B / FtO,34,0.9999985713308744,High,107.5,1,2018-11-30
WHX,Product A,34 / C / FtO,34,0.9999985713308744,High,107.5,1,2019-01-21
QID,Product A,34 / A / FtO,34,0.9999985713308744,High,107.5,1,2019-01-17
QID,Product A,34 / B / 34,34,0.9999985713308744,High,107.5,1,2019-02-05
WHX,Product A,34 / A / FtO,34,0.9999985713308744,High,107.5,1,2018-11-06
WHX,Product A,34 / A / 31,34,0.9999985713308744,High,107.5,1,2019-04-10
WHX,Product A,34 / A / FtO,34,0.9999985713308744,High,107.5,1,2018-11-06
WHX,Product A,34 / A / FtO,34,0.9999985713308744,High,107.5,1,2018-12-10
WHX,Product A,34 / A / FtO,34,0.9999985713308744,High,107.5,1,2019-03-29
QID,Product A,34 / B / FtO,34,0.9999985713308744,High,107.5,1,2018-11-12
WHX,Product A,34 / A / FtO,34,0.9999985713308744,High,107.5,1,2019-04-23
WHX,Product A,34 / A / FtO,34,0.9999985713308744,High,107.5,1,2019-03-20
WHX,Product A,34 / A / FtO,34,0.9999985713308744,High,107.5,1,2019-03-26
WHX,Product A,34 / A / FtO,34,0.9999985713308744,High,107.5,1,2019-04-02
WHX,Product A,34 / A / FtO,34,0.9999985713308744,High,107.5,1,2019-03-25
WHX,Product A,34 / B / FtO,34,0.9999985713308744,High,107.5,1,2019-01-23
WHX,Product A,34 / B / FtO,34,0.9999985713308744,High,107.5,1,2019-03-25
WHX,Product A,34 / A / FtO,34,0.9999985713308744,High,107.5,1,2019-02-05
VXH,Product A,34 / B / FtO,34,0.9999985713308744,High,107.5,1,2018-11-21
WHX,Product A,34 / B / FtO,34,0.9999985713308744,High,107.5,1,2019-01-21
WHX,Product A,34 / B / FtO,34,0.9999985713308744,High,107.5,1,2019-04-23
WHX,Product A,34 / B / FtO,34,0.9999985713308744,High,107.5,1,2019-02-13
VXH,Product A,34 / C / FtO,34,0.9999985713308744,High,107.5,1,2018-11-21
WHX,Product A,35 / B / FtO,35,0.9999985259498586,High,107.49,1,2019-03-12
QID,Product A,35 / B / 32,35,0.9999985228607394,High,107.5,1,2018-11-21
VXH,Product A,35 / B / 29,35,0.9999985228607394,High,107.5,1,2019-01-04
QID,Product A,35 / B / FtO,35,0.9999985228607394,High,107.5,1,2018-12-28
WHX,Product A,35 / C / FtO,35,0.9999985228607394,High,107.5,1,2018-12-10
RIH,Product A,35 / C / FtO,35,0.9999985228607394,High,107.5,1,2018-12-05
WHX,Product A,35 / B / FtO,35,0.9999985228607394,High,107.5,1,2018-11-12
WHX,Product A,35 / A / FtO,35,0.9999985228607394,High,107.5,1,2019-04-03
WHX,Product A,35 / B / FtO,35,0.9999985228607394,High,107.5,1,2019-03-29
WHX,Product A,36 / B / FtO,36,0.9999984759400946,High,107.49,1,2018-12-10
QID,Product A,36 / C / FtO,36,0.9999984727461716,High,107.5,1,2018-11-12
RIH,Product A,36 / C / FtO,36,0.9999984727461716,High,107.5,1,2018-12-18
WHX,Product A,36 / A / 31,36,0.9999984727461716,High,107.5,1,2019-03-12
QID,Product A,36 / A / FtO,36,0.9999984727461716,High,107.5,1,2018-11-21
VXH,Product A,36 / B / FtO,36,0.9999984727461716,High,107.5,1,2018-12-10
VXH,Product A,36 / A / FtO,36,0.9999984727461716,High,107.5,1,2018-11-05
VXH,Product A,36 / B / 32,36,0.9999984727461716,High,107.5,1,2018-11-01
WHX,Product A,36 / C / FtO,36,0.9999984727461716,High,107.5,1,2019-02-22
QID,Product A,36 / A / FtO,36,0.9999984727461716,High,107.5,1,2018-12-06
WHX,Product A,36 / C / FtO,36,0.9999984727461716,High,107.5,1,2018-12-13
WHX,Product A,36 / B / FtO,36,0.9999984727461716,High,107.5,1,2019-03-12
QID,Product A,36 / B / FtO,36,0.9999984727461716,High,107.5,1,2018-12-13
QID,Product A,36 / C / FtO,36,0.9999984727461716,High,107.5,1,2018-11-15
VXH,Product A,36 / C / FtO,36,0.9999984727461716,High,107.5,1,2018-12-21
QID,Product A,36 / C / FtO,36,0.9999984727461716,High,107.5,1,2018-12-21
WHX,Product A,36 / B / 33,36,0.9999984727461716,High,107.5,1,2018-11-15
WHX,Product A,36 / A / FtO,36,0.9999984727461716,High,107.5,1,2019-02-15
RIH,Product A,36 / C / FtO,36,0.9999984727461716,High,107.5,1,2018-11-20
VXH,Product A,37 / B / FtO,37,0.9999984209313809,High,107.5,1,2018-11-02
QID,Product A,37 / C / 31,37,0.9999984209313809,High,107.5,1,2019-02-05
QID,Product A,37 / B / FtO,37,0.9999984209313809,High,107.5,1,2018-11-26
QID,Product A,37 / B / 30,37,0.9999984209313809,High,107.5,1,2018-11-26
WHX,Product A,38 / B / FtO,38,0.9999983707730026,High,107.49,1,2018-11-06
WHX,Product A,38 / A / FtO,38,0.9999983673586846,High,107.5,1,2019-02-06
WHX,Product A,38 / A / FtO,38,0.9999983673586846,High,107.5,1,2019-04-10
WHX,Product A,38 / C / FtO,38,0.9999983673586846,High,107.5,1,2018-11-15
WHX,Product A,38 / B / FtO,38,0.9999983673586846,High,107.5,1,2018-11-22
INU,Product A,38 / B / FtO,38,0.9999983673586846,High,107.5,1,2019-04-24
QID,Product A,38 / B / FtO,38,0.9999983673586846,High,107.5,1,2018-12-12
VXH,Product A,38 / B / FtO,38,0.9999983673586846,High,107.5,1,2018-11-27
WHX,Product A,40 / B / FtO,40,0.9999983119684428,High,107.5,1,2018-11-23
WHX,Product A,40 / A / FtO,40,0.9999983119684428,High,107.5,1,2019-04-10
WHX,Product A,40 / C / FtO,40,0.9999983119684428,High,107.5,1,2018-11-06
WHX,Product A,40 / C / FtO,40,0.9999983119684428,High,107.5,1,2019-03-26
WHX,Product A,40 / C / FtO,40,0.9999983119684428,High,107.5,1,2018-11-13
XEB,Product D,32 / A / FtO,32,0.9999981907925616,High,103.33,1,2019-01-10
EYV,Product H,32 / A / FtO,32,0.9999981107603452,High,103.33,1,2019-01-15
KNB,Product H,32 / A / FtO,32,0.9999981107603452,High,103.33,1,2019-01-17
KNB,Product H,32 / A / FtO,32,0.9999981068011283,High,103.34,1,2019-01-22
AZN,Product Q,30 / B / FtO,30,0.9999980519300466,High,103.33,1,2019-01-24
WHX,Product A,32 / B / FtO,32,0.9999980059466188,High,101.35,1,2018-12-10
VXH,Product A,33 / A / FtO,33,0.9999980046744069,High,101.86,1,2018-11-21
QID,Product A,37 / C / FtO,37,0.9999979768317897,High,103.67,1,2018-11-08
WHX,Product A,37 / C / FtO,37,0.9999979768317897,High,103.67,1,2018-11-08
WHX,Product A,35 / A / FtO,35,0.9999979482583577,High,102.45,1,2019-03-20
WHX,Product A,36 / C / FtO,36,0.9999978574298786,High,102.29,1,2019-01-24
NMA,Product E,28 / B / FtO,28,0.9999978269731195,High,99.17,1,2018-12-07
WHX,Product A,32 / A / FtO,32,0.999997809080416,High,99.91,1,2019-04-14
NMA,Product F,28 / B / FtO,28,0.9999978079241113,High,99.16,1,2019-02-15
NMA,Product F,28 / B / FtO,28,0.9999978079241113,High,99.16,1,2019-04-18
QID,Product A,40 / C / FtO,40,0.9999977878337216,High,103.33,1,2019-01-24
WHX,Product A,30 / B / FtO,30,0.9999977857824722,High,98.75,1,2018-11-12
NMA,Product E,30 / A / FtO,30,0.9999977532493834,High,99.17,1,2018-12-10
RIH,Product A,36 / B / FtO,36,0.9999977416407995,High,101.46,1,2018-11-27
VXH,Product A,36 / B / FtO,36,0.9999977369080327,High,101.47,1,2018-11-30
OTH,Product F,30 / A / FtO,30,0.9999977335541061,High,99.16,1,2019-03-11
NMA,Product F,30 / B / FtO,30,0.9999977288043922,High,99.17,1,2019-02-15
EXR,Product J,28 / B / FtO,28,0.9999977061582671,High,99.17,1,2019-03-06
NMA,Product E,31 / B / FtO,31,0.9999976770244469,High,99.17,1,2018-11-27
NMA,Product F,31 / A / FtO,31,0.9999976566609744,High,99.16,1,2019-03-19
NMA,Product F,31 / B / FtO,31,0.9999976566609744,High,99.16,1,2018-12-21
NMA,Product F,31 / B / FtO,31,0.9999976566609744,High,99.16,1,2019-03-05
NMA,Product F,31 / A / FtO,31,0.9999976517501186,High,99.17,1,2018-12-24
NMA,Product F,31 / A / FtO,31,0.9999976517501186,High,99.17,1,2019-03-11
NMA,Product F,31 / B / FtO,31,0.9999976517501186,High,99.17,1,2019-04-02
NMA,Product F,31 / B / FtO,31,0.9999976517501186,High,99.17,1,2019-03-19
YQX,Product F,31 / C / FtO,31,0.9999976517501186,High,99.17,1,2019-02-05
NMA,Product F,31 / A / FtO,31,0.9999976517501186,High,99.17,1,2019-03-21
WHX,Product A,36 / C / FtO,36,0.9999976436247958,High,100.8,1,2019-01-30
WHX,Product A,32 / B / FtO,32,0.9999976329914658,High,98.75,1,2019-03-06
QMB,Product J,30 / A / FtO,30,0.999997628335686,High,99.17,1,2019-01-04
QMB,Product J,30 / A / FtO,30,0.999997628335686,High,99.17,1,2019-01-21
QMB,Product J,30 / B / 33,30,0.999997628335686,High,99.17,1,2019-03-05
QMB,Product J,30 / B / FtO,30,0.999997628335686,High,99.17,1,2019-01-04
EXR,Product J,30 / A / FtO,30,0.999997628335686,High,99.17,1,2019-03-25
EXR,Product J,30 / A / FtO,30,0.999997628335686,High,99.17,1,2019-03-05
QMB,Product J,30 / B / FtO,30,0.999997628335686,High,99.17,1,2019-01-04
QMB,Product J,30 / A / 30,30,0.999997628335686,High,99.17,1,2019-04-02
QMB,Product J,30 / A / 29,30,0.999997628335686,High,99.17,1,2019-04-02
QMB,Product J,30 / A / FtO,30,0.999997628335686,High,99.17,1,2019-01-02
EXR,Product J,30 / A / FtO,30,0.999997628335686,High,99.17,1,2019-03-06
QMB,Product J,30 / A / FtO,30,0.999997628335686,High,99.17,1,2019-01-04
EXR,Product J,30 / A / FtO,30,0.999997628335686,High,99.17,1,2019-04-18
EXR,Product J,30 / A / FtO,30,0.999997628335686,High,99.17,1,2019-04-27
WHX,Product A,33 / B / FtO,33,0.9999976278157674,High,99.18,1,2019-03-05
WHX,Product A,33 / B / FtO,33,0.9999976118690894,High,99.07,1,2019-03-26
NMA,Product F,32 / A / FtO,32,0.9999975771591154,High,99.16,1,2019-01-23
NMA,Product F,32 / B / FtO,32,0.9999975771591154,High,99.16,1,2019-04-23
NMA,Product F,32 / A / FtO,32,0.9999975771591154,High,99.16,1,2019-04-30
NMA,Product F,32 / B / FtO,32,0.9999975771591154,High,99.16,1,2019-03-19
NMA,Product F,32 / A / FtO,32,0.9999975720816507,High,99.17,1,2019-03-15
YQX,Product F,32 / B / FtO,32,0.9999975720816507,High,99.17,1,2018-12-24
NMA,Product F,32 / A / FtO,32,0.9999975720816507,High,99.17,1,2018-12-24
NMA,Product F,32 / B / FtO,32,0.9999975720816507,High,99.17,1,2019-03-15
OTH,Product F,32 / B / FtO,32,0.9999975720816507,High,99.17,1,2019-04-23
OTH,Product F,32 / A / FtO,32,0.9999975720816507,High,99.17,1,2019-03-29
NMA,Product F,32 / A / FtO,32,0.9999975720816507,High,99.17,1,2019-01-09
VXH,Product A,28 / A / 29,28,0.9999975663804347,High,96.75,1,2019-03-21
VXH,Product A,28 / A / FtO,28,0.9999975663804347,High,96.75,1,2019-01-18
WHX,Product A,28 / A / 30,28,0.9999975663804347,High,96.75,1,2019-03-21
QID,Product A,28 / A / FtO,28,0.9999975663804347,High,96.75,1,2019-03-21
QMB,Product J,31 / A / FtO,31,0.9999975530009365,High,99.16,1,2019-01-10
QMB,Product J,31 / A / FtO,31,0.9999975478728447,High,99.17,1,2018-12-28
EXR,Product J,31 / B / 32,31,0.9999975478728447,High,99.17,1,2019-04-16
QMB,Product J,31 / A / 29,31,0.9999975478728447,High,99.17,1,2019-03-14
QMB,Product J,31 / A / FtO,31,0.9999975478728447,High,99.17,1,2019-01-10
EXR,Product J,31 / A / FtO,31,0.9999975478728447,High,99.17,1,2019-03-06
EXR,Product J,31 / B / 32,31,0.9999975478728447,High,99.17,1,2019-04-02
QMB,Product J,31 / A / FtO,31,0.9999975478728447,High,99.17,1,2019-01-10
EXR,Product J,31 / A / FtO,31,0.9999975478728447,High,99.17,1,2019-03-12
